plant_id,genotype,source_row,r,r_light,r_dark,a,K_mm
hy5:row31,hy5,31,0.050265502,0.060115717,0.040415287,0.19596371,9.203719
hy5:row32,hy5,32,0.050265502,0.060115717,0.040415287,0.19596371,9.277181
hy5:row33,hy5,33,0.050265502,0.060115717,0.040415287,0.19596371,9.2042265
hy5:row34,hy5,34,0.050265502,0.060115717,0.040415287,0.19596371,9.204883
hy5:row35,hy5,35,0.050265502,0.060115717,0.040415287,0.19596371,9.204609
MLB:row3,MLB,3,0.032430712,0.04456928,0.020292144,0.37429237,8.001713
MLB:row4,MLB,4,0.032430712,0.04456928,0.020292144,0.37429237,7.9812155
MLB:row5,MLB,5,0.032430712,0.04456928,0.020292144,0.37429237,7.9959126
MLB:row6,MLB,6,0.032430712,0.04456928,0.020292144,0.37429237,8.000921
MLB:row7,MLB,7,0.032430712,0.04456928,0.020292144,0.37429237,8.001404
MLB:row8,MLB,8,0.032430712,0.04456928,0.020292144,0.37429237,7.97831
MLB:row9,MLB,9,0.032430712,0.04456928,0.020292144,0.37429237,7.9861836
MLB:row10,MLB,10,0.032430712,0.04456928,0.020292144,0.37429237,7.9688897
MLB:row11,MLB,11,0.032430712,0.04456928,0.020292144,0.37429237,7.9662757
MLB:row12,MLB,12,0.032430712,0.04456928,0.020292144,0.37429237,8.02549
MLB:row13,MLB,13,0.032430712,0.04456928,0.020292144,0.37429237,7.980714
MLB:row14,MLB,14,0.032430712,0.04456928,0.020292144,0.37429237,7.974502
MLB:row15,MLB,15,0.032430712,0.04456928,0.020292144,0.37429237,7.9807854
MLB:row16,MLB,16,0.032430712,0.04456928,0.020292144,0.37429237,7.987478
MLB:row17,MLB,17,0.032430712,0.04456928,0.020292144,0.37429237,7.9797425
MLB:row18,MLB,18,0.032430712,0.04456928,0.020292144,0.37429237,7.9893837
MLB:row19,MLB,19,0.032430712,0.04456928,0.020292144,0.37429237,7.9747944
MLB:row20,MLB,20,0.032430712,0.04456928,0.020292144,0.37429237,7.968686
MLB:row21,MLB,21,0.032430712,0.04456928,0.020292144,0.37429237,7.9734173
MLB:row22,MLB,22,0.032430712,0.04456928,0.020292144,0.37429237,7.9873524
MLB:row23,MLB,23,0.032430712,0.04456928,0.020292144,0.37429237,8.020983
MLB:row24,MLB,24,0.032430712,0.04456928,0.020292144,0.37429237,8.040634
MLB:row25,MLB,25,0.032430712,0.04456928,0.020292144,0.37429237,8.01478
MLB:row26,MLB,26,0.032430712,0.04456928,0.020292144,0.37429237,8.007121
MLB:row27,MLB,27,0.032430712,0.04456928,0.020292144,0.37429237,7.9696765
MLB:row28,MLB,28,0.032430712,0.04456928,0.020292144,0.37429237,7.993632
