protocol,model,seed,split,rmse,relative_error,mean_target,n_curves,n_scored_group_means,n_observations,individual_rmse
time_holdout,logistic,1,val,0.45108924833912345,9.921687296105826,4.546497333333333,5,25,125,0.745041652630612
time_holdout,logistic,1,test,0.3110456817854609,4.936394512243558,6.3010701639422395,5,10,257,0.9188443855049462
time_holdout,latent_ode_matched,1,train,0.07316007296225466,1.5996702930775373,4.573446995849696,5,25,397,0.6615630316208585
time_holdout,latent_ode_matched,1,val,0.30536344696158757,6.716454988827757,4.546497333333333,5,25,125,0.6481114015470602
time_holdout,latent_ode_matched,1,test,0.45585028616007317,7.234489924722124,6.3010701639422395,5,10,257,0.9734269476975919
time_holdout,latent_ode_matched,2,train,0.11231401922730855,2.455784867064844,4.573446995849696,5,25,397,0.6662241551725215
time_holdout,latent_ode_matched,2,val,0.2827293665644023,6.218619430204637,4.546497333333333,5,25,125,0.6379607345493862
time_holdout,latent_ode_matched,2,test,0.43903869217620584,6.967684548072434,6.3010701639422395,5,10,257,0.9783251899750567
time_holdout,latent_ode_matched,3,train,0.11434288777546602,2.500146779425447,4.573446995849696,5,25,397,0.66623859326066
time_holdout,latent_ode_matched,3,val,0.2843178036595566,6.25355703114654,4.546497333333333,5,25,125,0.6392095631130986
time_holdout,latent_ode_matched,3,test,0.44776964388306,7.106247545780615,6.3010701639422395,5,10,257,0.9810714623488576
