protocol,model,seed,split,genotype,rmse
time_holdout,logistic_pinn,2,train,phyAB,0.0270753054004071
time_holdout,logistic_pinn,2,val,Col-0,0.11185629258029821
time_holdout,logistic_pinn,2,val,hy5,0.42423347300227116
time_holdout,logistic_pinn,2,val,MLB,0.1545152218081588
time_holdout,logistic_pinn,2,val,EMS57,0.3446044729190363
time_holdout,logistic_pinn,2,val,phyAB,0.4770763315207738
time_holdout,logistic_pinn,2,test,Col-0,0.945741328619293
time_holdout,logistic_pinn,2,test,hy5,0.32841694216280265
time_holdout,logistic_pinn,2,test,MLB,0.16443012712884392
time_holdout,logistic_pinn,2,test,EMS57,0.1843668657989066
time_holdout,logistic_pinn,2,test,phyAB,0.3868827945755454
time_holdout,logistic_pinn,3,train,Col-0,0.03421461823106991
time_holdout,logistic_pinn,3,train,hy5,0.2522381559341809
time_holdout,logistic_pinn,3,train,MLB,0.021402929505111332
time_holdout,logistic_pinn,3,train,EMS57,0.21457102217023952
time_holdout,logistic_pinn,3,train,phyAB,0.07436293137188672
time_holdout,logistic_pinn,3,val,Col-0,0.07872730808925514
time_holdout,logistic_pinn,3,val,hy5,0.42420415903562425
time_holdout,logistic_pinn,3,val,MLB,0.11957308208737451
time_holdout,logistic_pinn,3,val,EMS57,0.3316223456852567
time_holdout,logistic_pinn,3,val,phyAB,0.45924185079561364
time_holdout,logistic_pinn,3,test,Col-0,0.7506556934662817
time_holdout,logistic_pinn,3,test,hy5,0.3150358862843697
time_holdout,logistic_pinn,3,test,MLB,0.26333136654161254
time_holdout,logistic_pinn,3,test,EMS57,0.1437595022452932
time_holdout,logistic_pinn,3,test,phyAB,0.3346061845504289
time_holdout,lstm,1,train,Col-0,0.08319586756452535
time_holdout,lstm,1,train,hy5,0.002969894687508816
time_holdout,lstm,1,train,MLB,0.06247774729695891
time_holdout,lstm,1,train,EMS57,0.007008304337792071
time_holdout,lstm,1,train,phyAB,1.80838788235201e-05
time_holdout,lstm,1,val,Col-0,0.0822307289032981
time_holdout,lstm,1,val,hy5,0.3789165584357346
time_holdout,lstm,1,val,MLB,0.1611072425681641
time_holdout,lstm,1,val,EMS57,0.38797993315326
time_holdout,lstm,1,val,phyAB,0.47716016478520845
time_holdout,lstm,1,test,Col-0,0.5688530957681351
time_holdout,lstm,1,test,hy5,0.6700993468819062
time_holdout,lstm,1,test,MLB,0.2231681051454229
time_holdout,lstm,1,test,EMS57,0.36169885740195
time_holdout,lstm,1,test,phyAB,0.6977593694309885
time_holdout,lstm,2,train,Col-0,0.08778471386866091
time_holdout,lstm,2,train,hy5,0.08525870404364738
time_holdout,lstm,2,train,MLB,0.08965283933156307
time_holdout,lstm,2,train,EMS57,0.2564467045424557
time_holdout,lstm,2,train,phyAB,0.033737259857117646
time_holdout,lstm,2,val,Col-0,0.13466063759912555
time_holdout,lstm,2,val,hy5,0.3042109538056019
time_holdout,lstm,2,val,MLB,0.17794235032397504
time_holdout,lstm,2,val,EMS57,0.33025474072273586
time_holdout,lstm,2,val,phyAB,0.46797416419201504
time_holdout,lstm,2,test,Col-0,0.701009352084663
time_holdout,lstm,2,test,hy5,0.5942257129821504
time_holdout,lstm,2,test,MLB,0.3351299210283484
time_holdout,lstm,2,test,EMS57,0.6769330212509878
time_holdout,lstm,2,test,phyAB,0.636595803646204
time_holdout,lstm,3,train,Col-0,0.021566824793558693
time_holdout,lstm,3,train,hy5,0.03551982545711883
time_holdout,lstm,3,train,MLB,0.02363797477907287
time_holdout,lstm,3,train,EMS57,0.03308377437884157
time_holdout,lstm,3,train,phyAB,0.04410339196116782
time_holdout,lstm,3,val,Col-0,0.07859475334565456
time_holdout,lstm,3,val,hy5,0.39346714508868075
time_holdout,lstm,3,val,MLB,0.12526233125963637
time_holdout,lstm,3,val,EMS57,0.4123626655313061
time_holdout,lstm,3,val,phyAB,0.47103036401784176
time_holdout,lstm,3,test,Col-0,0.5362674071622102
time_holdout,lstm,3,test,hy5,0.512758477761273
time_holdout,lstm,3,test,MLB,0.2017805642284964
time_holdout,lstm,3,test,EMS57,0.3119403506226071
time_holdout,lstm,3,test,phyAB,0.5094008321171837
time_holdout,rf,1,train,Col-0,0.7357151909883743
time_holdout,rf,1,train,hy5,0.4685679371064564
time_holdout,rf,1,train,MLB,0.829438423463083
time_holdout,rf,1,train,EMS57,0.5070081336618121
time_holdout,rf,1,train,phyAB,0.688690313838884
time_holdout,rf,1,val,Col-0,0.6920435660198793
time_holdout,rf,1,val,hy5,0.3537986462190561
time_holdout,rf,1,val,MLB,0.8438357686301234
time_holdout,rf,1,val,EMS57,0.42381318088438497
time_holdout,rf,1,val,phyAB,0.8361435751225041
time_holdout,rf,1,test,Col-0,0.7076526824376104
time_holdout,rf,1,test,hy5,1.8972319606781234
time_holdout,rf,1,test,MLB,0.09963829515879122
time_holdout,rf,1,test,EMS57,1.7452021974734973
time_holdout,rf,1,test,phyAB,2.3055686609390342
time_holdout,rf,2,train,Col-0,0.6800987896137166
time_holdout,rf,2,train,hy5,0.43213505362894317
time_holdout,rf,2,train,MLB,0.7486837180227331
time_holdout,rf,2,train,EMS57,0.44206451074511693
time_holdout,rf,2,train,phyAB,0.7549380285551985
time_holdout,rf,2,val,Col-0,0.6271199766290306
time_holdout,rf,2,val,hy5,0.26053624491241084
time_holdout,rf,2,val,MLB,0.7546260175164462
time_holdout,rf,2,val,EMS57,0.4061401404555418
time_holdout,rf,2,val,phyAB,0.8847864090527175
time_holdout,rf,2,test,Col-0,0.620259990439948
time_holdout,rf,2,test,hy5,1.7739868982342695
time_holdout,rf,2,test,MLB,0.17495134145575003
time_holdout,rf,2,test,EMS57,1.6152789742829672
time_holdout,rf,2,test,phyAB,2.3275687939020298
time_holdout,rf,3,train,Col-0,0.8364037653493376
time_holdout,rf,3,train,hy5,0.41616617035761155
time_holdout,rf,3,train,MLB,0.9445314600272366
