observation_id,plant_id,genotype,source_row,source_cell,elapsed_hours,length_mm,split,plant_index
12L12D:AF24,Col-0:row24,Col-0,24,AF24,72,5.416,test,21
12L12D:B25,Col-0:row25,Col-0,25,B25,0,1.139,train,22
12L12D:G25,Col-0:row25,Col-0,25,G25,12,1.078,train,22
12L12D:L25,Col-0:row25,Col-0,25,L25,24,2.41,train,22
12L12D:Q25,Col-0:row25,Col-0,25,Q25,36,1.965,train,22
12L12D:V25,Col-0:row25,Col-0,25,V25,48,3.22,val,22
12L12D:AA25,Col-0:row25,Col-0,25,AA25,60,3.421,test,22
12L12D:AF25,Col-0:row25,Col-0,25,AF25,72,4.117,test,22
12L12D:B26,Col-0:row26,Col-0,26,B26,0,0.968,train,23
12L12D:G26,Col-0:row26,Col-0,26,G26,12,1.853,train,23
12L12D:L26,Col-0:row26,Col-0,26,L26,24,2.164,train,23
12L12D:Q26,Col-0:row26,Col-0,26,Q26,36,2.054,train,23
12L12D:V26,Col-0:row26,Col-0,26,V26,48,2.83,val,23
12L12D:AA26,Col-0:row26,Col-0,26,AA26,60,3.856,test,23
12L12D:AF26,Col-0:row26,Col-0,26,AF26,72,5.734,test,23
12L12D:B27,Col-0:row27,Col-0,27,B27,0,1.083,train,24
12L12D:G27,Col-0:row27,Col-0,27,G27,12,1.254,train,24
12L12D:L27,Col-0:row27,Col-0,27,L27,24,2.211,train,24
12L12D:Q27,Col-0:row27,Col-0,27,Q27,36,2.47,train,24
12L12D:AA27,Col-0:row27,Col-0,27,AA27,60,5.36,test,24
12L12D:AF27,Col-0:row27,Col-0,27,AF27,72,4.859,test,24
12L12D:B28,Col-0:row28,Col-0,28,B28,0,1.238,train,25
12L12D:G28,Col-0:row28,Col-0,28,G28,12,1.362,train,25
12L12D:L28,Col-0:row28,Col-0,28,L28,24,1.393,train,25
12L12D:Q28,Col-0:row28,Col-0,28,Q28,36,2.125,train,25
12L12D:V28,Col-0:row28,Col-0,28,V28,48,2.668,val,25
12L12D:B29,Col-0:row29,Col-0,29,B29,0,0.82,train,26
12L12D:G29,Col-0:row29,Col-0,29,G29,12,1.413,train,26
12L12D:L29,Col-0:row29,Col-0,29,L29,24,1.863,train,26
12L12D:V29,Col-0:row29,Col-0,29,V29,48,2.888,val,26
12L12D:G30,Col-0:row30,Col-0,30,G30,12,1.193,train,27
12L12D:L30,Col-0:row30,Col-0,30,L30,24,1.743,train,27
12L12D:V30,Col-0:row30,Col-0,30,V30,48,3.232,val,27
12L12D:G31,Col-0:row31,Col-0,31,G31,12,1.375,train,28
12L12D:L31,Col-0:row31,Col-0,31,L31,24,2.19,train,28
12L12D:V31,Col-0:row31,Col-0,31,V31,48,2.581,val,28
12L12D:G32,Col-0:row32,Col-0,32,G32,12,1.234,train,29
12L12D:L32,Col-0:row32,Col-0,32,L32,24,1.574,train,29
12L12D:V32,Col-0:row32,Col-0,32,V32,48,2.462,val,29
12L12D:G33,Col-0:row33,Col-0,33,G33,12,1.377,train,30
12L12D:L33,Col-0:row33,Col-0,33,L33,24,1.724,train,30
12L12D:V33,Col-0:row33,Col-0,33,V33,48,2.434,val,30
12L12D:G34,Col-0:row34,Col-0,34,G34,12,0.917,train,31
12L12D:L34,Col-0:row34,Col-0,34,L34,24,1.747,train,31
12L12D:V34,Col-0:row34,Col-0,34,V34,48,2.431,val,31
12L12D:L35,Col-0:row35,Col-0,35,L35,24,1.124,train,32
12L12D:V35,Col-0:row35,Col-0,35,V35,48,2.739,val,32
12L12D:C3,hy5:row3,hy5,3,C3,0,1.864,train,33
12L12D:H3,hy5:row3,hy5,3,H3,12,5.683,train,33
12L12D:M3,hy5:row3,hy5,3,M3,24,5.924,train,33
12L12D:R3,hy5:row3,hy5,3,R3,36,5.487,train,33
12L12D:W3,hy5:row3,hy5,3,W3,48,7.285,val,33
12L12D:AB3,hy5:row3,hy5,3,AB3,60,8.456,test,33
12L12D:AG3,hy5:row3,hy5,3,AG3,72,12.004,test,33
12L12D:C4,hy5:row4,hy5,4,C4,0,2.489,train,34
12L12D:H4,hy5:row4,hy5,4,H4,12,5.596,train,34
12L12D:M4,hy5:row4,hy5,4,M4,24,5.185,train,34
12L12D:R4,hy5:row4,hy5,4,R4,36,9.375,train,34
12L12D:W4,hy5:row4,hy5,4,W4,48,8.422,val,34
12L12D:AB4,hy5:row4,hy5,4,AB4,60,11.131,test,34
12L12D:AG4,hy5:row4,hy5,4,AG4,72,9.976,test,34
12L12D:C5,hy5:row5,hy5,5,C5,0,2.121,train,35
12L12D:H5,hy5:row5,hy5,5,H5,12,4.803,train,35
12L12D:M5,hy5:row5,hy5,5,M5,24,4.566,train,35
12L12D:R5,hy5:row5,hy5,5,R5,36,6.671,train,35
12L12D:W5,hy5:row5,hy5,5,W5,48,9.856,val,35
12L12D:AB5,hy5:row5,hy5,5,AB5,60,10.874,test,35
12L12D:AG5,hy5:row5,hy5,5,AG5,72,11.445,test,35
12L12D:C6,hy5:row6,hy5,6,C6,0,3.125,train,36
12L12D:H6,hy5:row6,hy5,6,H6,12,4.461,train,36
12L12D:M6,hy5:row6,hy5,6,M6,24,4.375,train,36
12L12D:R6,hy5:row6,hy5,6,R6,36,6.73,train,36
12L12D:W6,hy5:row6,hy5,6,W6,48,6.874,val,36
12L12D:AB6,hy5:row6,hy5,6,AB6,60,8.175,test,36
12L12D:AG6,hy5:row6,hy5,6,AG6,72,10.002,test,36
12L12D:C7,hy5:row7,hy5,7,C7,0,2.274,train,37
12L12D:H7,hy5:row7,hy5,7,H7,12,7.417,train,37
12L12D:M7,hy5:row7,hy5,7,M7,24,6.201,train,37
12L12D:R7,hy5:row7,hy5,7,R7,36,8.185,train,37
12L12D:W7,hy5:row7,hy5,7,W7,48,8.548,val,37
12L12D:AB7,hy5:row7,hy5,7,AB7,60,7.76,test,37
12L12D:AG7,hy5:row7,hy5,7,AG7,72,9.378,test,37
12L12D:C8,hy5:row8,hy5,8,C8,0,2.345,train,38
12L12D:H8,hy5:row8,hy5,8,H8,12,5.318,train,38
12L12D:M8,hy5:row8,hy5,8,M8,24,6.586,train,38
12L12D:R8,hy5:row8,hy5,8,R8,36,7.364,train,38
12L12D:W8,hy5:row8,hy5,8,W8,48,7.861,val,38
12L12D:AB8,hy5:row8,hy5,8,AB8,60,10.231,test,38
12L12D:AG8,hy5:row8,hy5,8,AG8,72,13.498,test,38
12L12D:C9,hy5:row9,hy5,9,C9,0,2.447,train,39
12L12D:H9,hy5:row9,hy5,9,H9,12,4.698,train,39
12L12D:M9,hy5:row9,hy5,9,M9,24,4.818,train,39
12L12D:R9,hy5:row9,hy5,9,R9,36,6.498,train,39
12L12D:W9,hy5:row9,hy5,9,W9,48,7.039,val,39
12L12D:AB9,hy5:row9,hy5,9,AB9,60,12.008,test,39
12L12D:AG9,hy5:row9,hy5,9,AG9,72,10.089,test,39
12L12D:C10,hy5:row10,hy5,10,C10,0,2.781,train,40
12L12D:H10,hy5:row10,hy5,10,H10,12,4.767,train,40
12L12D:M10,hy5:row10,hy5,10,M10,24,5.827,train,40
12L12D:R10,hy5:row10,hy5,10,R10,36,7.862,train,40
12L12D:W10,hy5:row10,hy5,10,W10,48,7.964,val,40
12L12D:AB10,hy5:row10,hy5,10,AB10,60,9.657,test,40
12L12D:AG10,hy5:row10,hy5,10,AG10,72,13.851,test,40
12L12D:C11,hy5:row11,hy5,11,C11,0,2.685,train,41
12L12D:H11,hy5:row11,hy5,11,H11,12,4.577,train,41
12L12D:M11,hy5:row11,hy5,11,M11,24,6.069,train,41
12L12D:R11,hy5:row11,hy5,11,R11,36,8.466,train,41
12L12D:W11,hy5:row11,hy5,11,W11,48,7.536,val,41
12L12D:AB11,hy5:row11,hy5,11,AB11,60,10.288,test,41
12L12D:AG11,hy5:row11,hy5,11,AG11,72,10.562,test,41
12L12D:C12,hy5:row12,hy5,12,C12,0,2.674,train,42
12L12D:H12,hy5:row12,hy5,12,H12,12,4.228,train,42
12L12D:M12,hy5:row12,hy5,12,M12,24,5.498,train,42
12L12D:R12,hy5:row12,hy5,12,R12,36,7.577,train,42
12L12D:W12,hy5:row12,hy5,12,W12,48,7.441,val,42
12L12D:AB12,hy5:row12,hy5,12,AB12,60,10.033,test,42
12L12D:AG12,hy5:row12,hy5,12,AG12,72,10.877,test,42
12L12D:C13,hy5:row13,hy5,13,C13,0,2.499,train,43
12L12D:H13,hy5:row13,hy5,13,H13,12,4.147,train,43
12L12D:M13,hy5:row13,hy5,13,M13,24,7.196,train,43
12L12D:R13,hy5:row13,hy5,13,R13,36,5.341,train,43
12L12D:W13,hy5:row13,hy5,13,W13,48,7.227,val,43
12L12D:AB13,hy5:row13,hy5,13,AB13,60,7.731,test,43
12L12D:AG13,hy5:row13,hy5,13,AG13,72,11.068,test,43
12L12D:C14,hy5:row14,hy5,14,C14,0,2.621,train,44
12L12D:H14,hy5:row14,hy5,14,H14,12,5.273,train,44
12L12D:M14,hy5:row14,hy5,14,M14,24,4.95,train,44
12L12D:R14,hy5:row14,hy5,14,R14,36,6.201,train,44
12L12D:W14,hy5:row14,hy5,14,W14,48,8.196,val,44
12L12D:AB14,hy5:row14,hy5,14,AB14,60,9.949,test,44
12L12D:AG14,hy5:row14,hy5,14,AG14,72,8.862,test,44
12L12D:C15,hy5:row15,hy5,15,C15,0,2.986,train,45
12L12D:H15,hy5:row15,hy5,15,H15,12,4.568,train,45
12L12D:M15,hy5:row15,hy5,15,M15,24,5.27,train,45
12L12D:R15,hy5:row15,hy5,15,R15,36,7.152,train,45
12L12D:AB15,hy5:row15,hy5,15,AB15,60,8.109,test,45
12L12D:AG15,hy5:row15,hy5,15,AG15,72,8.822,test,45
12L12D:C16,hy5:row16,hy5,16,C16,0,2.524,train,46
12L12D:H16,hy5:row16,hy5,16,H16,12,4.867,train,46
12L12D:M16,hy5:row16,hy5,16,M16,24,5.308,train,46
12L12D:R16,hy5:row16,hy5,16,R16,36,5.498,train,46
12L12D:W16,hy5:row16,hy5,16,W16,48,8.998,val,46
