observation_id,plant_id,genotype,source_row,source_cell,elapsed_hours,length_mm,split,plant_index
12L12D:N15,MLB:row15,MLB,15,N15,24,1.509,train,78
12L12D:S15,MLB:row15,MLB,15,S15,36,1.643,train,78
12L12D:D16,MLB:row16,MLB,16,D16,0,1.082,train,79
12L12D:I16,MLB:row16,MLB,16,I16,12,1.515,train,79
12L12D:N16,MLB:row16,MLB,16,N16,24,1.529,train,79
12L12D:S16,MLB:row16,MLB,16,S16,36,1.802,train,79
12L12D:D17,MLB:row17,MLB,17,D17,0,0.871,train,80
12L12D:I17,MLB:row17,MLB,17,I17,12,1.218,train,80
12L12D:N17,MLB:row17,MLB,17,N17,24,1.496,train,80
12L12D:S17,MLB:row17,MLB,17,S17,36,1.875,train,80
12L12D:D18,MLB:row18,MLB,18,D18,0,0.922,train,81
12L12D:I18,MLB:row18,MLB,18,I18,12,1.539,train,81
12L12D:N18,MLB:row18,MLB,18,N18,24,1.537,train,81
12L12D:S18,MLB:row18,MLB,18,S18,36,1.825,train,81
12L12D:D19,MLB:row19,MLB,19,D19,0,1.193,train,82
12L12D:I19,MLB:row19,MLB,19,I19,12,1.724,train,82
12L12D:N19,MLB:row19,MLB,19,N19,24,1.146,train,82
12L12D:S19,MLB:row19,MLB,19,S19,36,1.64,train,82
12L12D:D20,MLB:row20,MLB,20,D20,0,0.956,train,83
12L12D:I20,MLB:row20,MLB,20,I20,12,1.393,train,83
12L12D:N20,MLB:row20,MLB,20,N20,24,1.482,train,83
12L12D:S20,MLB:row20,MLB,20,S20,36,1.37,train,83
12L12D:D21,MLB:row21,MLB,21,D21,0,1.326,train,84
12L12D:I21,MLB:row21,MLB,21,I21,12,1.335,train,84
12L12D:N21,MLB:row21,MLB,21,N21,24,1.38,train,84
12L12D:S21,MLB:row21,MLB,21,S21,36,1.708,train,84
12L12D:D22,MLB:row22,MLB,22,D22,0,0.818,train,85
12L12D:I22,MLB:row22,MLB,22,I22,12,1.226,train,85
12L12D:N22,MLB:row22,MLB,22,N22,24,1.9,train,85
12L12D:S22,MLB:row22,MLB,22,S22,36,1.641,train,85
12L12D:D23,MLB:row23,MLB,23,D23,0,0.905,train,86
12L12D:I23,MLB:row23,MLB,23,I23,12,1.133,train,86
12L12D:N23,MLB:row23,MLB,23,N23,24,1.222,train,86
12L12D:S23,MLB:row23,MLB,23,S23,36,3.593,train,86
12L12D:D24,MLB:row24,MLB,24,D24,0,0.716,train,87
12L12D:I24,MLB:row24,MLB,24,I24,12,1.6,train,87
12L12D:N24,MLB:row24,MLB,24,N24,24,1.517,train,87
12L12D:S24,MLB:row24,MLB,24,S24,36,3.417,train,87
12L12D:D25,MLB:row25,MLB,25,D25,0,0.794,train,88
12L12D:I25,MLB:row25,MLB,25,I25,12,1.893,train,88
12L12D:N25,MLB:row25,MLB,25,N25,24,1.925,train,88
12L12D:S25,MLB:row25,MLB,25,S25,36,1.838,train,88
12L12D:D26,MLB:row26,MLB,26,D26,0,0.932,train,89
12L12D:I26,MLB:row26,MLB,26,I26,12,1.406,train,89
12L12D:N26,MLB:row26,MLB,26,N26,24,1.057,train,89
12L12D:S26,MLB:row26,MLB,26,S26,36,3.077,train,89
12L12D:D27,MLB:row27,MLB,27,D27,0,0.787,train,90
12L12D:I27,MLB:row27,MLB,27,I27,12,1.475,train,90
12L12D:N27,MLB:row27,MLB,27,N27,24,1.326,train,90
12L12D:S27,MLB:row27,MLB,27,S27,36,1.497,train,90
12L12D:I28,MLB:row28,MLB,28,I28,12,1.772,train,91
12L12D:N28,MLB:row28,MLB,28,N28,24,1.237,train,91
12L12D:S28,MLB:row28,MLB,28,S28,36,1.588,train,91
12L12D:I29,MLB:row29,MLB,29,I29,12,1.621,train,92
12L12D:N29,MLB:row29,MLB,29,N29,24,2.345,train,92
12L12D:S29,MLB:row29,MLB,29,S29,36,1.561,train,92
12L12D:I30,MLB:row30,MLB,30,I30,12,1.627,train,93
12L12D:N30,MLB:row30,MLB,30,N30,24,1.507,train,93
12L12D:S30,MLB:row30,MLB,30,S30,36,1.434,train,93
12L12D:I31,MLB:row31,MLB,31,I31,12,1.538,train,94
12L12D:N31,MLB:row31,MLB,31,N31,24,1.982,train,94
12L12D:S31,MLB:row31,MLB,31,S31,36,1.587,train,94
12L12D:I32,MLB:row32,MLB,32,I32,12,1.502,train,95
12L12D:N32,MLB:row32,MLB,32,N32,24,1.672,train,95
12L12D:S32,MLB:row32,MLB,32,S32,36,1.719,train,95
12L12D:I33,MLB:row33,MLB,33,I33,12,1.331,train,96
12L12D:N33,MLB:row33,MLB,33,N33,24,1.206,train,96
12L12D:S33,MLB:row33,MLB,33,S33,36,1.698,train,96
12L12D:I34,MLB:row34,MLB,34,I34,12,1.28,train,97
12L12D:N34,MLB:row34,MLB,34,N34,24,1.719,train,97
12L12D:S34,MLB:row34,MLB,34,S34,36,1.572,train,97
12L12D:I35,MLB:row35,MLB,35,I35,12,1.364,train,98
12L12D:N35,MLB:row35,MLB,35,N35,24,1.24,train,98
12L12D:I36,MLB:row36,MLB,36,I36,12,1.307,train,99
12L12D:N36,MLB:row36,MLB,36,N36,24,1.303,train,99
12L12D:I37,MLB:row37,MLB,37,I37,12,1.682,train,100
12L12D:N37,MLB:row37,MLB,37,N37,24,1.72,train,100
12L12D:I38,MLB:row38,MLB,38,I38,12,1.774,train,101
12L12D:N38,MLB:row38,MLB,38,N38,24,1.519,train,101
12L12D:I39,MLB:row39,MLB,39,I39,12,1.682,train,102
12L12D:N39,MLB:row39,MLB,39,N39,24,1.607,train,102
12L12D:N40,MLB:row40,MLB,40,N40,24,1.649,train,103
12L12D:F3,phyAB:row3,phyAB,3,F3,0,1.806,train,104
12L12D:K3,phyAB:row3,phyAB,3,K3,12,4.573,train,104
12L12D:P3,phyAB:row3,phyAB,3,P3,24,5.848,train,104
12L12D:U3,phyAB:row3,phyAB,3,U3,36,7.813,train,104
12L12D:F4,phyAB:row4,phyAB,4,F4,0,1.361,train,105
12L12D:K4,phyAB:row4,phyAB,4,K4,12,4.406,train,105
12L12D:P4,phyAB:row4,phyAB,4,P4,24,6.208,train,105
12L12D:U4,phyAB:row4,phyAB,4,U4,36,8.245,train,105
12L12D:F5,phyAB:row5,phyAB,5,F5,0,1.743,train,106
12L12D:K5,phyAB:row5,phyAB,5,K5,12,5.019,train,106
12L12D:P5,phyAB:row5,phyAB,5,P5,24,6.509,train,106
12L12D:U5,phyAB:row5,phyAB,5,U5,36,8.521,train,106
12L12D:F6,phyAB:row6,phyAB,6,F6,0,1.69,train,107
12L12D:K6,phyAB:row6,phyAB,6,K6,12,4.752,train,107
12L12D:P6,phyAB:row6,phyAB,6,P6,24,6.788,train,107
12L12D:U6,phyAB:row6,phyAB,6,U6,36,7.755,train,107
12L12D:F7,phyAB:row7,phyAB,7,F7,0,2.05,train,108
12L12D:K7,phyAB:row7,phyAB,7,K7,12,4.427,train,108
12L12D:P7,phyAB:row7,phyAB,7,P7,24,5.814,train,108
12L12D:U7,phyAB:row7,phyAB,7,U7,36,7.659,train,108
12L12D:F8,phyAB:row8,phyAB,8,F8,0,1.951,train,109
12L12D:K8,phyAB:row8,phyAB,8,K8,12,4.824,train,109
12L12D:P8,phyAB:row8,phyAB,8,P8,24,6.012,train,109
12L12D:U8,phyAB:row8,phyAB,8,U8,36,8.639,train,109
12L12D:F9,phyAB:row9,phyAB,9,F9,0,1.845,train,110
12L12D:K9,phyAB:row9,phyAB,9,K9,12,5.039,train,110
12L12D:P9,phyAB:row9,phyAB,9,P9,24,7.866,train,110
12L12D:U9,phyAB:row9,phyAB,9,U9,36,8.636,train,110
12L12D:F10,phyAB:row10,phyAB,10,F10,0,1.651,train,111
12L12D:K10,phyAB:row10,phyAB,10,K10,12,4.837,train,111
