genotype,replicate,source_row,flight_code,height_relative,date,year,dap,published_gdd_f,station_gdd_f,is_ground_flight,trajectory_id,height_raw,plot_id,block,entry,stand,field_range,field_row,has_loess_height,mapping_count,ambiguous_plot_mapping,unmapped_plot_metadata,observed,temperature_c,tmin_c,tmax_c,daily_gdd_c,thermal_integral_c,genotype_index,split
911,1,11,07242018,518.836807,2018-07-24,2018,71,1662.5,1662.5,False,YC18:1175,13.0196078,YC18:1175,1,12,23,4,18,True,1,False,False,True,23.33333333,17.22222222,29.44444444,13.33333333,919.7222222,20,train
911,1,11,07312018,473.404846,2018-07-31,2018,78,1812,1812,False,YC18:1175,25.5294118,YC18:1175,1,12,23,4,18,True,1,False,False,True,23.05555556,16.66666667,29.44444444,13.05555556,1002.916667,20,train
911,1,11,08092018,471.464189,2018-08-09,2018,87,2031.5,2031.5,False,YC18:1175,36.8196078,YC18:1175,1,12,23,4,18,True,1,False,False,True,26.66666667,21.66666667,31.66666667,15.83333333,1123.472222,20,train
911,1,11,08172018,509.344334,2018-08-17,2018,95,2248.5,2248.5,False,YC18:1175,41.2941176,YC18:1175,1,12,23,4,18,True,1,False,False,True,25,20,30,15,1244.444444,20,train
911,2,12,06052018,44.3854973,2018-06-05,2018,22,430,430,False,YC18:2172,1.60784314,YC18:2172,1,12,>15,15,20,True,1,False,False,True,22.77777778,15.55555556,30,12.77777778,235.2777778,20,train
911,2,12,06132018,89.9306104,2018-06-13,2018,30,585,585,False,YC18:2172,25.7487274,YC18:2172,1,12,>15,15,20,True,1,False,False,True,20.83333333,14.44444444,27.22222222,10.83333333,322.3611111,20,train
911,2,12,06282018,333.281465,2018-06-28,2018,45,946,946,False,YC18:2172,6.23529412,YC18:2172,1,12,>15,15,20,True,1,False,False,True,23.88888889,20,27.77777778,13.88888889,521.3888889,20,train
911,2,12,07092018,432.171543,2018-07-09,2018,56,1267,1267,False,YC18:2172,26.6666667,YC18:2172,1,12,>15,15,20,True,1,False,False,True,28.88888889,24.44444444,33.33333333,17.22222222,698.0555556,20,train
911,2,12,07122018,490.250975,2018-07-12,2018,59,1356,1356,False,YC18:2172,13.5686275,YC18:2172,1,12,>15,15,20,True,1,False,False,True,28.88888889,25,32.77777778,17.5,747.3611111,20,train
911,2,12,07172018,464.198909,2018-07-17,2018,64,1495,1495,False,YC18:2172,18.0313725,YC18:2172,1,12,>15,15,20,True,1,False,False,True,24.44444444,18.88888889,30,14.44444444,826.1111111,20,train
911,2,12,07242018,493.738858,2018-07-24,2018,71,1662.5,1662.5,False,YC18:2172,12.3898039,YC18:2172,1,12,>15,15,20,True,1,False,False,True,23.33333333,17.22222222,29.44444444,13.33333333,919.7222222,20,train
