year,genotype,genotype_index,date,dap,split,height_relative,n_replicates,temperature_c,station_gdd_f
2018,790,17,2018-07-09,56,train,388.954389,2,28.88888889,1267
2018,790,17,2018-07-12,59,train,483.166423,2,28.88888889,1356
2018,790,17,2018-07-17,64,train,462.7501805,2,24.44444444,1495
2018,790,17,2018-07-24,71,train,517.274046,2,23.33333333,1662.5
2018,790,17,2018-07-31,78,train,467.296396,2,23.05555556,1812
2018,790,17,2018-08-09,87,train,485.4564665,2,26.66666667,2031.5
2018,790,17,2018-08-17,95,train,546.887316,2,25,2248.5
2018,793,18,2018-06-05,22,train,46.55064355,2,22.77777778,430
2018,793,18,2018-06-13,30,train,65.8068921,2,20.83333333,585
2018,793,18,2018-06-28,45,train,381.491991,2,23.88888889,946
2018,793,18,2018-07-09,56,train,445.899345,2,28.88888889,1267
2018,793,18,2018-07-12,59,train,522.223556,2,28.88888889,1356
2018,793,18,2018-07-17,64,train,494.773646,2,24.44444444,1495
2018,793,18,2018-07-24,71,train,512.4919955,2,23.33333333,1662.5
2018,793,18,2018-07-31,78,train,507.710335,2,23.05555556,1812
2018,793,18,2018-08-09,87,train,485.323398,2,26.66666667,2031.5
2018,793,18,2018-08-17,95,train,583.6587845,2,25,2248.5
2018,87916W,19,2018-06-05,22,train,48.7969827,2,22.77777778,430
2018,87916W,19,2018-06-13,30,train,99.8964344,2,20.83333333,585
2018,87916W,19,2018-06-28,45,train,407.693364,2,23.88888889,946
2018,87916W,19,2018-07-09,56,train,458.607095,2,28.88888889,1267
2018,87916W,19,2018-07-12,59,train,528.5075535,2,28.88888889,1356
2018,87916W,19,2018-07-17,64,train,565.4332405,2,24.44444444,1495
2018,87916W,19,2018-07-24,71,train,609.4769725,2,23.33333333,1662.5
2018,87916W,19,2018-07-31,78,train,582.8406295,2,23.05555556,1812
2018,87916W,19,2018-08-09,87,train,601.3591255,2,26.66666667,2031.5
2018,87916W,19,2018-08-17,95,train,712.477432,2,25,2248.5
2018,911,20,2018-06-05,22,train,44.3854973,1,22.77777778,430
2018,911,20,2018-06-13,30,train,89.9306104,1,20.83333333,585
2018,911,20,2018-06-28,45,train,368.286499,2,23.88888889,946
2018,911,20,2018-07-09,56,train,438.209234,2,28.88888889,1267
2018,911,20,2018-07-12,59,train,511.50463,2,28.88888889,1356
2018,911,20,2018-07-17,64,train,454.708979,2,24.44444444,1495
2018,911,20,2018-07-24,71,train,506.2878325,2,23.33333333,1662.5
2018,911,20,2018-07-31,78,train,474.8592385,2,23.05555556,1812
2018,911,20,2018-08-09,87,train,479.5487275,2,26.66666667,2031.5
2018,911,20,2018-08-17,95,train,531.9625115,2,25,2248.5
2018,912,21,2018-06-05,22,train,59.5415208,1,22.77777778,430
2018,912,21,2018-06-13,30,train,100.8843411,2,20.83333333,585
2018,912,21,2018-06-28,45,train,399.3089245,2,23.88888889,946
2018,912,21,2018-07-09,56,train,418.189523,2,28.88888889,1267
2018,912,21,2018-07-12,59,train,451.994396,1,28.88888889,1356
2018,912,21,2018-07-17,64,train,436.132946,2,24.44444444,1495
2018,912,21,2018-07-24,71,train,474.6184715,2,23.33333333,1662.5
2018,912,21,2018-07-31,78,train,433.1908855,2,23.05555556,1812
2018,912,21,2018-08-09,87,train,441.895365,2,26.66666667,2031.5
2018,912,21,2018-08-17,95,train,508.3116175,2,25,2248.5
2018,91IFC2,22,2018-06-05,22,train,37.8900587,1,22.77777778,430
2018,91IFC2,22,2018-06-13,30,train,96.8720184,1,20.83333333,585
2018,91IFC2,22,2018-06-28,45,train,409.7894735,2,23.88888889,946
2018,91IFC2,22,2018-07-09,56,train,462.0740005,2,28.88888889,1267
2018,91IFC2,22,2018-07-12,59,train,532.3969725,2,28.88888889,1356
2018,91IFC2,22,2018-07-17,64,train,529.548181,2,24.44444444,1495
2018,91IFC2,22,2018-07-24,71,train,540.793606,2,23.33333333,1662.5
2018,91IFC2,22,2018-07-31,78,train,507.983034,2,23.05555556,1812
2018,91IFC2,22,2018-08-09,87,train,495.542054,2,26.66666667,2031.5
2018,91IFC2,22,2018-08-17,95,train,562.617494,2,25,2248.5
2018,A,23,2018-06-05,22,train,56.835088,2,22.77777778,430
2018,A,23,2018-06-13,30,train,76.6475668,1,20.83333333,585
2018,A,23,2018-06-28,45,train,332.967048,2,23.88888889,946
2018,A,23,2018-07-09,56,train,401.849625,2,28.88888889,1267
2018,A,23,2018-07-12,59,train,479.6241475,2,28.88888889,1356
2018,A,23,2018-07-17,64,train,513.1225265,2,24.44444444,1495
2018,A,23,2018-07-24,71,train,605.3981655,2,23.33333333,1662.5
2018,A,23,2018-07-31,78,train,602.5258355,2,23.05555556,1812
2018,A,23,2018-08-09,87,train,587.434637,2,26.66666667,2031.5
2018,A,23,2018-08-17,95,train,691.997243,2,25,2248.5
