protocol,model,seed,split,rmse,relative_error,mean_observed_length,n_observations,n_case_time_groups
time_holdout,logistic,1,test,0.9387269136869465,13.144541247314093,7.1415722772277235,505,20
time_holdout,latent_ode_matched,1,train,0.6892148043517198,13.329394452199235,5.17063852242744,758,50
time_holdout,latent_ode_matched,1,val,0.6601944069379039,12.484716451499807,5.288020833333333,240,50
time_holdout,latent_ode_matched,1,test,0.930764254697565,13.033043965199173,7.1415722772277235,505,20
time_holdout,latent_ode_matched,2,train,0.6934430557591118,13.411168712555131,5.17063852242744,758,50
time_holdout,latent_ode_matched,2,val,0.6627048919888683,12.53219139779993,5.288020833333333,240,50
time_holdout,latent_ode_matched,2,test,0.9242953649806401,12.942463215389328,7.1415722772277235,505,20
time_holdout,latent_ode_matched,3,train,0.6949043929188427,13.43943093110691,5.17063852242744,758,50
time_holdout,latent_ode_matched,3,val,0.657905527261827,12.441432210604827,5.288020833333333,240,50
time_holdout,latent_ode_matched,3,test,0.9201896286450563,12.884972565204693,7.1415722772277235,505,20
