protocol,model,seed,split,genotype,condition,rmse
replicate,light_pinn,3,test,hy5,12L12D,0.26371864337294615
replicate,light_pinn,3,test,hy5,cR,0.3815363484296663
replicate,light_pinn,3,test,MLB,12L12D,0.19762674340005285
replicate,light_pinn,3,test,MLB,cR,0.224514948258133
replicate,light_pinn,3,test,EMS57,12L12D,0.5538464715501142
replicate,light_pinn,3,test,EMS57,cR,0.47167658156001163
replicate,light_pinn,3,test,phyAB,12L12D,0.30215889769486554
replicate,light_pinn,3,test,phyAB,cR,0.2235477192506659
replicate,lstm,1,train,Col-0,12L12D,0.29468326387410526
replicate,lstm,1,train,Col-0,cR,0.18538038747090135
replicate,lstm,1,train,hy5,12L12D,0.08406061610708415
replicate,lstm,1,train,hy5,cR,0.22536084107210838
replicate,lstm,1,train,MLB,12L12D,0.09529164390069707
replicate,lstm,1,train,MLB,cR,0.08138632586265859
replicate,lstm,1,train,EMS57,12L12D,0.16657888138907798
replicate,lstm,1,train,EMS57,cR,0.19404892878005944
replicate,lstm,1,train,phyAB,12L12D,0.10041304816901514
replicate,lstm,1,train,phyAB,cR,0.11751736268764362
replicate,lstm,1,val,Col-0,12L12D,0.1257495236380899
replicate,lstm,1,val,Col-0,cR,0.22691154885000506
replicate,lstm,1,val,hy5,12L12D,0.4034604545666463
replicate,lstm,1,val,hy5,cR,0.5208842956095013
replicate,lstm,1,val,MLB,12L12D,0.13708994263140686
replicate,lstm,1,val,MLB,cR,0.23120443248818895
replicate,lstm,1,val,EMS57,12L12D,0.27604182236312363
replicate,lstm,1,val,EMS57,cR,0.6113207339699708
replicate,lstm,1,val,phyAB,12L12D,0.423067940662673
replicate,lstm,1,val,phyAB,cR,0.27796491506611165
replicate,lstm,1,test,Col-0,12L12D,0.5222926667238469
replicate,lstm,1,test,Col-0,cR,0.32128344363505024
replicate,lstm,1,test,hy5,12L12D,0.2273070152650856
replicate,lstm,1,test,hy5,cR,0.43767584215965616
replicate,lstm,1,test,MLB,12L12D,0.21322208558752262
replicate,lstm,1,test,MLB,cR,0.19069994880336313
replicate,lstm,1,test,EMS57,12L12D,0.6164688273411911
replicate,lstm,1,test,EMS57,cR,0.546397956161888
replicate,lstm,1,test,phyAB,12L12D,0.2575152718267139
replicate,lstm,1,test,phyAB,cR,0.23431797579091762
replicate,lstm,2,train,Col-0,12L12D,0.263273032961598
replicate,lstm,2,train,Col-0,cR,0.13938135263033719
replicate,lstm,2,train,hy5,12L12D,0.06859252368469251
replicate,lstm,2,train,hy5,cR,0.15903458101815068
replicate,lstm,2,train,MLB,12L12D,0.06580236026139819
replicate,lstm,2,train,MLB,cR,0.09652956970827645
replicate,lstm,2,train,EMS57,12L12D,0.1141679395122426
replicate,lstm,2,train,EMS57,cR,0.24017084123982785
replicate,lstm,2,train,phyAB,12L12D,0.17952380837355567
replicate,lstm,2,train,phyAB,cR,0.2100364278586156
replicate,lstm,2,val,Col-0,12L12D,0.16961747893822746
replicate,lstm,2,val,Col-0,cR,0.17862250491180798
replicate,lstm,2,val,hy5,12L12D,0.4398268066892333
replicate,lstm,2,val,hy5,cR,0.41781262323992613
replicate,lstm,2,val,MLB,12L12D,0.16917326402196448
replicate,lstm,2,val,MLB,cR,0.19406445258527705
replicate,lstm,2,val,EMS57,12L12D,0.43271531080149656
