observation_id,sheet,genotype,elapsed_hours,length,source_cell,source_row,source_column
12L12D:L21,12L12D,Col-0,24,1.348,L21,21,12
12L12D:L22,12L12D,Col-0,24,1.597,L22,22,12
12L12D:L23,12L12D,Col-0,24,2.217,L23,23,12
12L12D:L24,12L12D,Col-0,24,1.357,L24,24,12
12L12D:L25,12L12D,Col-0,24,2.41,L25,25,12
12L12D:L26,12L12D,Col-0,24,2.164,L26,26,12
12L12D:L27,12L12D,Col-0,24,2.211,L27,27,12
12L12D:L28,12L12D,Col-0,24,1.393,L28,28,12
12L12D:L29,12L12D,Col-0,24,1.863,L29,29,12
12L12D:L30,12L12D,Col-0,24,1.743,L30,30,12
12L12D:L31,12L12D,Col-0,24,2.19,L31,31,12
12L12D:L32,12L12D,Col-0,24,1.574,L32,32,12
12L12D:L33,12L12D,Col-0,24,1.724,L33,33,12
12L12D:L34,12L12D,Col-0,24,1.747,L34,34,12
12L12D:L35,12L12D,Col-0,24,1.124,L35,35,12
12L12D:M3,12L12D,hy5,24,5.924,M3,3,13
12L12D:M4,12L12D,hy5,24,5.185,M4,4,13
12L12D:M5,12L12D,hy5,24,4.566,M5,5,13
12L12D:M6,12L12D,hy5,24,4.375,M6,6,13
12L12D:M7,12L12D,hy5,24,6.201,M7,7,13
12L12D:M8,12L12D,hy5,24,6.586,M8,8,13
12L12D:M9,12L12D,hy5,24,4.818,M9,9,13
12L12D:M10,12L12D,hy5,24,5.827,M10,10,13
12L12D:M11,12L12D,hy5,24,6.069,M11,11,13
12L12D:M12,12L12D,hy5,24,5.498,M12,12,13
12L12D:M13,12L12D,hy5,24,7.196,M13,13,13
12L12D:M14,12L12D,hy5,24,4.95,M14,14,13
12L12D:M15,12L12D,hy5,24,5.27,M15,15,13
12L12D:M16,12L12D,hy5,24,5.308,M16,16,13
12L12D:M17,12L12D,hy5,24,5.19,M17,17,13
12L12D:M18,12L12D,hy5,24,5.676,M18,18,13
12L12D:M19,12L12D,hy5,24,5.7,M19,19,13
12L12D:M20,12L12D,hy5,24,5.362,M20,20,13
12L12D:M21,12L12D,hy5,24,5.017,M21,21,13
12L12D:M22,12L12D,hy5,24,5.055,M22,22,13
12L12D:M23,12L12D,hy5,24,5.67,M23,23,13
12L12D:M24,12L12D,hy5,24,5.12,M24,24,13
12L12D:M25,12L12D,hy5,24,5.822,M25,25,13
12L12D:M26,12L12D,hy5,24,5.786,M26,26,13
12L12D:M27,12L12D,hy5,24,5.98,M27,27,13
12L12D:M28,12L12D,hy5,24,5.071,M28,28,13
12L12D:M29,12L12D,hy5,24,4.685,M29,29,13
12L12D:M30,12L12D,hy5,24,6.851,M30,30,13
12L12D:M32,12L12D,hy5,24,4.774,M32,32,13
